tweet-avatar-link href,tweet-avatar src,tweet-header-name,tweet-header-handle,tweet-time,tweet-time href,tweet-translate-after,tweet-reply-to,tweet-reply-to 2,tweet-reply-to href,tweet-body-text,tweet-date,tweet-interact-reply,tweet-interact-retweet,tweet-interact-favorite,tweet-interact-more-menu-follow,tweet-interact-more-menu-block,tweet-interact-more-menu-mute-user,tweet-self-thread-button,tweet-self-thread-button href,emoji src,
https://twitter.com/zackiel1528645,https://pbs.twimg.com/profile_images/1678847991199973378/F-Kkvm3z_bigger.jpg,zackiel,@zackiel1528645,2d,https://twitter.com/zackiel1528645/status/1722509037319925833,View translation,Replying to,@zamirmohyedin,https://twitter.com/zamirmohyedin,Ajak rakyat boikot bakal movie2 boxoffice yg akan keluar tidak lama lagi. Jangan lupa industri movie juga penyumbang terbesar mereka apa lagi film Wonder woman terang2 pelakun bangsa yahudi. Cuba lihat film di negara Mat Kilau boxoffice di negara kita sahaja dah berapa kutipan.,14:58 - 9 Nov 2023 ___Twitter for Android,1,0,0,Follow @zackiel1528645,Block @zackiel1528645,Mute @zackiel1528645,Show thread,https://twitter.com/zamirmohyedin/status/1721114474894283117,,
https://twitter.com/Kalli_Marii,https://pbs.twimg.com/profile_images/1532597927520370690/178cfp9t_bigger.jpg,Kallimari,@Kalli_Marii,5d,https://twitter.com/Kalli_Marii/status/1721168819933315501,View translation,,,,"BARU JE TAHUN LEPAS KELUAR MOVIE MAT KILAU OI! LIKE OR HATE THAT MOVIE IT’S A MOVIE LITERALLY ABOUT OUR ANCESTORS FIGHTING BRITISH COLONIZERS, APA BEBAL NAK NEUTRAL2 WHEN A LITERAL GENOCIDE IS HAPPENING!

YG PIGI SUPPORT PENJAJAH LAGI LA BOLEH PIGI MAMPUS! PTUI!",22:13 - 5 Nov 2023 ___Twitter for Android,0,0,1,Follow @Kalli_Marii,Block @Kalli_Marii,Mute @Kalli_Marii,Show thread,https://twitter.com/Kalli_Marii/status/1721166649771082138,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/72x72/1f1f2-1f1fe.png,
https://twitter.com/naadds,https://pbs.twimg.com/profile_images/1145701512699510784/gC1Emxzc_bigger.jpg,nadiah,@naadds,5d,https://twitter.com/naadds/status/1721453893392220664,,,,,Watched Mat Kilau for Friday night movie and then wave the  flag on Sunday for the Prince. Some Makcik logic.,17:06 - 6 Nov 2023 ___Twitter for iPhone,0,0,0,Follow @naadds,Block @naadds,Mute @naadds,,,,
https://twitter.com/neexxzz,https://pbs.twimg.com/profile_images/1700718434450083840/C9kUeGg0_bigger.jpg,Nizz,@neexxzz,5d,https://twitter.com/neexxzz/status/1721502526594511056,,,,,"Me explaining to my colleague how Hamas is penjuang tuntut kemerdekaan blablabla

Her: oh you mean, alike Daud Kilau?

Me:...
Photocopy machine:...
Claim form:...
Me: Mat Kilau? Macam movie tu, you mean?",20:19 - 6 Nov 2023 ___Twitter for Android,2,0,3,Follow @neexxzz,Block @neexxzz,Mute @neexxzz,,,,
https://twitter.com/Kodeykodey1,https://pbs.twimg.com/profile_images/1506560716886618119/6t39E5Be_bigger.jpg,Alterafro,@Kodeykodey1,November 4,https://twitter.com/Kodeykodey1/status/1720627069380350244,View translation,Replying to,@thepatriotsasia,https://twitter.com/thepatriotsasia,"Dah tontu Mat Kilau ni pejuang.Dio melawan penindasan pado zaman dio.,dio bkn gengster kutip cukai.gengster org nmbor 1 lari dr perang.lg 1,fuck movie mat kilau.hehehehe",10:20 - 4 Nov 2023 ___Twitter for Android,0,0,2,Follow @Kodeykodey1,Block @Kodeykodey1,Mute @Kodeykodey1,Show thread,https://twitter.com/thepatriotsasia/status/1720619087057858922,,
https://twitter.com/syairashahredza,https://pbs.twimg.com/profile_images/1694398238626029568/vKsT5wqN_bigger.jpg,Syaira Shakir Ariff,@syairashahredza,November 3,https://twitter.com/syairashahredza/status/1720456665450049954,,,,,"Bila tahu je anak ku lelaki, I got so inspired dengan bravery dorang ni. Time tu pun tgh peak dgn movie mat kilau.

Like I really wanted and I prayed my son to have this kind of bravery and pegangan kepada Islam tu teguh dalam sanubari dia.

Hence his name now",23:03 - 3 Nov 2023 ___Twitter for Android,0,0,0,Follow @syairashahredza,Block @syairashahredza,Mute @syairashahredza,Show thread,https://twitter.com/syairashahredza/status/1720456331507994912,,
https://twitter.com/wongshu04twitte,https://pbs.twimg.com/profile_images/1435967541642293250/8uusEmK0_bigger.jpg,Wong CK,@wongshu04twitte,November 1,https://twitter.com/wongshu04twitte/status/1719675642248298516,View translation,Replying to,@TokPerak8,https://twitter.com/TokPerak8,Dia ingat beliau seperti Mat Kilau the movie yang benci Ingeris penjajah,19:19 - 1 Nov 2023 ___Twitter for Android,0,0,1,Follow @wongshu04twitte,Block @wongshu04twitte,Mute @wongshu04twitte,Show thread,https://twitter.com/TokPerak8/status/1719314113246146827,,
https://twitter.com/nasirrajuli,https://pbs.twimg.com/profile_images/937673048039108610/AbdrJzEw_bigger.jpg,____ ____ ______,@nasirrajuli,November 1,https://twitter.com/nasirrajuli/status/1719414261024477365,View translation,Replying to,@PiangShankly,https://twitter.com/PiangShankly,"Teringat dulu time fenomena movie Mat Kilau, bila ramai makin ramai bangga jadi Melayu, pakai baju traditional, time Tu ramai gila yg tak suka, faham2 la dari mana. Ckp benda2 ni akan jadikan Melayu ekstrimis macm Taliban. Tak mustahil akan datang Melayu sendiri di cop terrorist",02:01 - 1 Nov 2023 ___Twitter for Android,0,1,4,Follow @nasirrajuli,Block @nasirrajuli,Mute @nasirrajuli,Show thread,https://twitter.com/PiangShankly/status/1719339133611688362,,
https://twitter.com/Ak47tantashe,https://pbs.twimg.com/profile_images/1483385226994798593/DU106Bqo_bigger.jpg,No.1 WOBÉ DISCIPLE,@Ak47tantashe,October 30,https://twitter.com/Ak47tantashe/status/1718730506458542353,,Replying to,@RealSuzzane,https://twitter.com/RealSuzzane,Mat kilau Indian movie,04:44 - 30 Oct 2023 ___Twitter for iPhone,0,0,0,Follow @Ak47tantashe,Block @Ak47tantashe,Mute @Ak47tantashe,Show thread,https://twitter.com/RealSuzzane/status/1718730263662858628,https://cdn.jsdelivr.net/gh/twitter/twemoji@14.0.2/assets/72x72/1f336.png,
https://twitter.com/ZahidNazir_MOT,https://pbs.twimg.com/profile_images/1712922626140827648/wXlF0px7_bigger.jpg,ED,@ZahidNazir_MOT,October 28,https://twitter.com/ZahidNazir_MOT/status/1718264962035122598,View translation,Replying to,@E710x,https://twitter.com/E710x,sorry tak pernah tgk sampai habis movie mat kilau.Dia cakap apa?,21:54 - 28 Oct 2023 ___Twitter for iPhone,1,0,0,Follow @ZahidNazir_MOT,Block @ZahidNazir_MOT,Mute @ZahidNazir_MOT,Show thread,https://twitter.com/E710x/status/1718264731197403448,,
